crm,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1530,3654,9536,9489,12683,15880,11776,6090,5791,7491,3493,4493,6192,5493,11680,5793,9990,5191,6293,9592,9990,7691,15580,7092,7686,3798,5793,3394,11986,9386,9689,2398
1531,42009,33535,70121,44406,66911,65107,31841,39810,42770,52949,309,37265,56746,21882,32711,18351,51901,23427,14540,10393,3497,1298,5097,4994,-1899,5595,-599,14985,-2797,2598,4596
1535,2804,13658,10710,16988,12460,27021,11887,14299,12487,8189,13883,8089,16885,15483,22679,14984,-2300,1897,21779,25873,20180,30268,1992,11188,18081,22873,19778,17581,14835,16734,20080
1536,32109,20864,37123,35828,18494,23263,28009,55646,22797,17275,37271,25372,48454,48558,44954,43451,42164,41852,20873,42313,18420,25331,51546,50151,19978,32267,36262,38960,40064,61343,26571
1537,5641,1713,34651,17361,19596,21086,32369,30974,42711,17683,27870,28380,22087,20231,36768,30521,34066,18681,-1600,24574,18086,29572,9786,12387,24580,26175,39568,28075,32270,15785,11140
1540,27419,16773,9778,10991,17692,2598,24972,14376,14708,16800,33762,30471,-1398,18325,31667,-2598,27567,15482,13784,32465,12077,25174,40455,29338,7392,33962,50243,4696,19475,14380,12586
1546,13585,15912,22770,19170,29507,22680,7389,13174,17177,21116,18077,8783,18576,16428,26764,32406,25513,34953,11877,29858,11271,18967,20514,17266,11481,18219,13277,6892,13875,10687,697
1547,6388,3598,14088,4064,-31,5593,8787,2796,797,6393,4297,15857,-499,7891,8642,3843,5494,9965,4095,11535,2998,12386,3596,6990,3495,5269,12637,11975,5869,5993,6194
1552,-352,6228,19956,11603,26512,20533,7806,17774,15641,8075,20120,15730,8564,20661,30836,-6612,4416,10428,16385,7011,30388,8108,22048,13049,11243,7990,11465,21062,17124,14578,2678
1554,9741,4340,20682,22017,14499,8788,11485,15980,12987,17476,14483,15880,14384,14485,12834,5992,5293,16475,8789,24073,6589,24373,11801,11884,27969,14385,9386,20650,19028,16230,6039
1555,2793,9392,4326,4835,8209,8683,8490,3097,7442,9392,5695,13089,4495,11188,10589,7192,10887,6695,3897,6093,8091,5293,800,7192,10189,4794,12186,1996,3895,-600,2297
1564,24079,11566,4576,4193,7122,2296,5492,24675,25176,16286,-2558,32772,5394,9992,9630,1598,9786,13980,8543,13085,9392,13286,6470,5295,6483,7592,600,11489,2996,6792,8091
1565,15248,7773,16759,10688,22972,32757,32220,31980,21094,36959,41255,28243,25855,23475,34298,24371,36163,40867,30965,45192,32707,45955,22373,38055,36333,20784,27533,16876,49043,35618,29768
1567,14768,28030,11523,17836,30187,40581,16673,48108,33183,38236,24744,36253,39184,24154,27188,22462,23199,21911,25403,42035,29153,21415,22032,22857,28557,25019,34229,34492,41233,32689,40177
1569,30292,29778,9435,41900,25266,54734,43448,54439,8396,17281,31463,28964,23667,24470,49445,12184,63635,6287,46297,55388,19326,8387,7389,28216,24475,44056,36960,36860,33068,8186,20940
1571,13823,4381,39370,36539,13555,26367,27967,9188,43202,33504,29157,36152,16924,31662,14178,26661,27320,32458,22019,29271,36811,45648,10182,44497,48687,38204,53431,31954,25965,21522,39597
1578,10894,25658,23943,9001,15677,17136,14289,16386,24476,13687,-1598,12589,3896,3596,12990,2995,15986,14537,5499,15384,16283,12787,11588,15986,11288,28574,5394,18184,-18582,-1398,7794
1582,25657,39563,45135,31862,6914,24782,14583,1693,20778,27065,17675,12532,9992,23268,20777,36612,23219,37651,22948,38690,16860,18302,20378,29388,14730,26946,20679,49192,38160,18576,11735
1586,5121,9643,12305,677,5076,15877,-199,11288,6792,5394,9289,16578,2497,17580,7588,11485,3497,7592,2697,6091,6194,6295,5988,11592,7293,16384,7192,6790,6394,4594,12988
1589,17573,7144,7392,3893,10788,6627,1798,2598,5095,9988,6792,8892,11289,934,5196,6786,17122,5659,5543,5196,3996,8190,10491,11188,3596,2998,3596,11188,5794,14186,9390
1591,2728,4049,2537,-176,15826,5117,2709,-556,7848,10622,9942,-2942,4941,5728,-5623,4893,-22,6008,6112,2348,213,-2154,3296,-1846,2810,3231,3904,560,800,640,5240
1593,21973,27898,34668,29530,18118,20278,26872,16781,26574,7988,-3698,29566,6590,10387,17629,10885,25169,28570,11284,19993,2198,9286,25071,18079,7495,5690,11229,8190,13388,13485,18380
1597,4930,457,3611,5405,1148,5294,4298,3629,3534,8639,9373,5393,1308,5438,7413,8483,3290,1770,2875,650,6125,3625,6275,9225,2525,4563,14635,11540,21080,15800,24240
1598,1518,5935,35857,17073,32808,38165,18481,25875,1199,12588,3795,24773,25774,24178,27874,5350,22074,32772,31470,29309,21675,9888,35469,40164,27808,14985,23878,22675,14985,12807,30431
1599,4730,17450,6165,3706,13934,5571,13881,5621,38899,4829,10072,1580,3996,3602,5836,32199,52423,33386,33923,6469,-31700,26208,4262,12783,13221,14731,15877,18960,26240,19320,304
1602,23,5554,1818,1418,2618,3696,6495,9790,1398,6095,1596,9693,2598,1798,3696,3897,3897,10891,9592,9592,12289,14289,6994,499,6594,8293,5595,2598,9192,1200,9192
1607,8413,3178,13474,10969,49723,-1315,16790,18084,25077,12784,29168,3893,22276,24378,18089,3951,8691,18386,7992,6394,11087,15984,26281,32065,9691,21274,10791,9986,39540,-10095,16982
