crm,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1220,14483,28770,103,11287,12489,-800,17883,14883,3196,20183,15586,12087,20378,1497
1222,63233,25466,21932,23309,24574,40350,30464,27259,28662,20570,48642,42004,43041,32866
1223,27392,42157,55976,32713,32476,38206,50054,14533,55146,61341,65127,32367,64633,25472
1234,28461,19073,30243,27812,33257,20252,22113,18080,42178,26550,33116,34956,38508,49204
1239,12331,23072,81321,127991,25640,18231,61534,16978,39628,72337,68339,40759,46916,57150
1241,19983,16380,24370,20371,9384,23669,19479,10637,17873,10783,23570,24576,28069,32962
1242,20171,12285,10085,20168,9477,11279,4092,21160,14279,12786,14731,5295,4152,10277
1249,19279,33218,70828,43805,35595,43858,66273,52651,45589,32365,51156,55451,41966,48362
1250,39147,40639,61113,43286,66767,29052,34047,33756,32158,29960,59522,68112,56822,38345
1253,38901,36948,17074,23664,41753,22824,26769,30211,27257,25214,25067,39048,55033,23671
1257,16583,18763,30842,25875,31174,29571,19081,10167,31368,20056,34797,23679,31786,25079
1260,28767,25168,65980,19874,34958,31666,25272,14382,34860,26570,29864,20975,33564,8089
1268,16182,18180,27370,12685,34961,8186,34568,20872,17077,19276,31419,1089,20877,16781
1274,14186,17782,2796,11287,8992,22782,26677,10790,2499,2499,10091,6491,14586,-3097
1276,37558,40847,39452,31460,54944,43752,22775,53847,57636,47952,42558,50247,73882,29719
1280,13984,10089,16281,6691,12790,9886,8510,7440,18828,17881,16081,7891,14885,13184
1284,22026,13185,16032,23793,15285,18031,7592,30467,9190,14786,21974,23776,24076,16483
1286,20879,-499,7192,1895,6093,11590,6392,19732,6992,5344,4495,10689,13782,4095
1291,27088,25021,23639,22412,2249,39012,16920,30315,28639,21441,40002,36979,35855,32309
1292,32151,22926,28313,9960,21987,7794,10688,-702,16487,4048,7893,19535,51384,20529
1293,118843,87499,121290,75870,124376,137075,59935,60718,69827,134481,100499,73827,206058,77934
1296,19584,43156,-2155,9936,20079,44652,12237,32463,10531,-9995,549,32662,32760,15082
1315,18479,15681,23075,32061,-2202,18582,29464,24465,31270,28462,20978,39658,6691,24576
1317,34113,16982,16582,32810,34883,23955,21107,26576,18947,19384,48665,26227,39811,23576
1321,8689,29366,50744,55396,37951,26868,24709,14982,23365,43362,-1107,53335,30360,41743
1324,12087,5292,22572,25071,11186,14483,6490,14735,18078,25970,17881,16881,18530,11488
1326,40692,21176,45759,2494,32071,129045,-20488,10536,21831,20668,14082,17281,20381,48252
1335,20873,23299,21474,28627,20072,24780,33712,26271,18780,21177,29565,25172,31369,38360
1336,11388,8392,7492,11238,12087,3398,10687,8293,5394,4796,5293,300,9790,15687
1341,8887,3094,4794,6239,12186,20830,-1104,8089,3991,4094,2098,12491,9092,4795
1411,3596,3194,25077,9190,6941,13782,19385,22880,20383,20029,3193,8488,31471,29271
1412,26965,18021,30269,17126,42302,11436,21572,33662,38847,33715,9589,48794,25369,499
1414,16932,17763,23991,7786,12987,15381,14273,14932,498,22776,2198,24378,-998,-1598
1418,12489,30069,39557,28067,28770,18180,32567,38463,20676,25670,31767,50845,33863,42653
1421,50648,35729,47753,20179,29043,28273,25254,36814,28317,53595,40208,37563,41906,25852
1433,20176,26424,22231,9192,23178,14380,14583,9092,23075,28176,19578,45550,53343,8391
1435,1899,1398,2998,-1002,15184,2796,9792,2598,2598,18083,15285,5293,15087,12887
1440,4293,2603,10552,5081,1840,2490,6646,1391,1476,7300,2784,6850,5400,3876
1443,14884,8592,13389,10492,13689,2598,17386,15588,-2598,6095,10491,7794,13588,6495
1444,26475,19274,11087,11483,6288,19180,7693,29169,5992,12485,12388,12082,16081,17780
1446,3594,99,1398,8689,14687,-901,1398,12786,4693,18678,8292,3494,6693,1596
1447,15587,7294,23079,23278,22083,11570,20683,6891,5896,22458,11591,36966,10792,6996
1448,26968,17100,29467,51300,9029,15787,17981,18680,16331,33616,29571,20128,28269,30371
1452,26472,23725,20477,10390,30968,6893,26970,14883,49055,23078,22677,16884,31568,17282
1453,13489,11688,12794,13089,33971,23580,17485,34772,35366,28772,32471,27974,30075,27727
1461,23158,29571,37261,3294,37152,30070,32868,35364,29673,13680,32666,38362,30867,10089
1466,3195,8291,22172,1098,6334,22774,9588,9389,11684,13586,9889,11889,10488,15184
1468,27307,47948,38257,32368,40257,18080,22673,24511,17341,27970,36361,48750,35160,22976
1471,7271,13880,6196,2491,30865,26687,6789,4994,3698,4095,10499,10587,15480,-5093
1472,38063,1797,22478,9190,8989,27173,25571,3394,9092,24779,6994,24377,23476,23778
1481,21175,22382,49680,-2004,15083,15178,29222,33960,41659,23576,42350,6093,1190,18973
1483,9390,11889,21433,6594,4693,15685,8990,3596,3497,18780,11489,10790,-1600,21483
1484,7991,3001,18186,1996,598,399,16586,5393,1398,6994,18384,-5196,3996,4234
1486,15982,14083,15587,18181,22082,29169,16130,19649,26672,30867,10387,33666,21279,17084
1495,7309,-495,5594,6591,12635,17134,8689,8422,14181,15134,1997,16186,398,-701
1501,38977,53840,51457,25770,33722,20172,26071,29671,22693,42756,24475,60241,31871,20580
1503,11885,16584,4996,6194,1200,3398,8392,15684,12288,8091,16234,17048,1447,8692
1506,26214,23063,37140,24756,26557,30647,22955,28252,43133,26556,21562,35247,37150,28163
1508,13688,22879,11092,18781,24928,10587,19020,28974,27576,20678,28527,9582,46809,18583
1509,6872,15687,37634,6735,59553,45662,28577,17986,19884,36493,36870,37367,10827,19241
1511,10441,27576,24878,17533,15987,28774,1697,27874,23978,12589,17832,34021,14286,17683
1521,35740,14375,126718,4908,43044,27344,12476,30862,15513,54446,22281,35399,27212,23206
1528,2899,7191,31073,5695,-1804,11786,3996,1698,13436,5594,8693,3196,32574,10589
1530,5493,11680,5793,9990,5191,6293,9592,3798,5793,3394,11986,9386,9689,2398
1531,56746,21882,32711,18351,51901,23427,14540,-1899,5595,-599,14985,-2797,2598,4596
1535,16885,15483,22679,14984,-2300,1897,21779,18081,22873,19778,17581,14835,16734,20080
1536,48454,48558,44954,43451,42164,41852,20873,19978,32267,36262,38960,40064,61343,26571
1537,22087,20231,36768,30521,34066,18681,-1600,24580,26175,39568,28075,32270,15785,11140
1540,-1398,18325,31667,-2598,27567,15482,13784,7392,33962,50243,4696,19475,14380,12586
1545,8691,800,4396,-2598,6994,9390,4796,12190,1798,-800,2598,11291,11290,1999
1546,18576,16428,26764,32406,25513,34953,11877,11481,18219,13277,6892,13875,10687,697
1547,-499,7891,8642,3843,5494,9965,4095,3495,5269,12637,11975,5869,5993,6194
1552,8564,20661,30836,-6612,4416,10428,16385,11243,7990,11465,21062,17124,14578,2678
1554,14384,14485,12834,5992,5293,16475,8789,27969,14385,9386,20650,19028,16230,6039
1555,4495,11188,10589,7192,10887,6695,3897,10189,4794,12186,1996,3895,-600,2297
1564,5394,9992,9630,1598,9786,13980,8543,6483,7592,600,11489,2996,6792,8091
1565,25855,23475,34298,24371,36163,40867,30965,36333,20784,27533,16876,49043,35618,29768
1567,39184,24154,27188,22462,23199,21911,25403,28557,25019,34229,34492,41233,32689,40177
