crm,Y0901,Y0902,Y0903,Y0904,Y0905,Y0906,Y0907,Y0908,Y0909,Y0910,Y0911,Y0912,Y1001,Y1002,Y1003,Y1004,Y1005,Y1006,Y1007,Y1008,Y1009,Y1010,Y1011,Y1012,Y1101,Y1102,Y1103,Y1104,Y1105,Y1106,Y1107,Y1108,Y1109,Y1110,Y1111,Y1112,Y1201,Y1202,Y1203,Y1204,Y1205,Y1206,Y1207,Y1208,Y1209,Y1210,Y1211,Y1212,Y1301,Y1302,Y1303,Y1304,Y1305,Y1306,Y1307,Y1308,Y1309,Y1310,Y1311,Y1312,Y1401,Y1402,Y1403,Y1404,Y1405,Y1406,Y1407,Y1408,Y1409,Y1410,Y1411,Y1412,Y1501,Y1502,Y1503,Y1504,Y1505,Y1506,Y1507,Y1508,Y1509,Y1510,Y1511,Y1512,Y1601,Y1602,Y1603,Y1604,Y1605,Y1606,Y1607,Y1608,Y1609,Y1610,Y1611,Y1612,Y1701,Y1702,Y1703,Y1704,Y1705,Y1706,Y1707,Y1708,Y1709,Y1710,Y1711,Y1712,Y1801,Y1802,Y1803,Y1804,Y1805,Y1806,Y1807
1012,13851,20512,28679,20655,33595,20040,24936,33087,17847,31889,53403,19956,39048,26216,28832,8180,25352,40423,24415,30832,21888,35133,18862,19387,41448,6315,32927,21198,20234,14927,17227,37570,17016,39163,37202,22155,31977,41022,51118,56866,51238,41924,47540,68360,44952,42913,60345,27229,22627,35732,59949,73109,50982,43885,4364,62470,46184,39213,39578,54417,32528,22170,36016,45416,49991,16462,38073,68237,48146,35077,45395,46809,41641,22744,47712,47838,36764,32897,27388,36630,32070,38048,50876,19347,55351,14908,43905,25113,20786,50970,19856,43034,69861,60723,19151,69180,14034,21657,24725,61265,29197,42984,47179,30699,10220,-2028,-2598,,-1798,,,,,,-2848
1013,3064,3495,16649,14252,6436,6775,16605,22408,16929,11860,4196,2847,14798,8238,22942,20228,8903,4145,20478,9685,13401,6070,15272,11388,7498,-751,11311,15769,14992,10576,5784,11505,11724,7292,11408,11784,6602,10684,11060,10798,8653,15697,5267,18177,4933,4098,16840,31513,3057,5187,24015,10585,29742,6681,11801,1917,9816,986,9199,13462,8393,8132,11862,13056,17921,13945,4837,24049,1926,7708,7164,4134,14610,9507,8852,5544,23195,23922,11422,20296,6453,11969,13737,13599,11727,16550,14356,13373,13947,1897,9091,15983,7943,15683,14283,23174,14487,17584,-1800,13186,21375,17260,4100,6750,22427,-501,13734,14187,9840,18384,16285,18381,18984,11390,13386
1015,23971,58417,70842,59745,52612,39779,35224,42729,66094,74031,52531,44625,54449,51426,53236,59343,47467,74528,36357,66744,70672,62787,42722,101338,45766,79488,84758,80705,52420,71067,71564,81608,66816,61115,62141,47068,62667,56516,55348,62941,51190,58695,49946,63028,58219,52057,77485,40783,56624,43161,46383,61152,38289,29919,58912,33550,57595,56352,37018,53925,56838,44744,40963,43799,50689,52014,59589,55281,78382,62458,40137,49464,54266,56690,79337,57289,61142,42603,47980,31999,47655,49498,31604,39468,46600,44346,43348,20407,42094,24036,32456,52737,49592,38203,43048,46593,42850,30371,50840,52692,40454,37359,36152,65123,43594,72677,40977,44457,-13586,-7592,-1398,,-2598,,
1016,13864,4705,13165,28366,1498,17109,18227,3160,20127,19610,30713,22985,10857,20342,5607,5192,32636,8231,28992,19231,9697,23628,33988,13379,19645,14848,27813,27235,49305,36010,10988,33168,30550,20805,49857,22893,28892,21689,22490,18180,24289,9769,44069,12975,27094,32617,26434,22328,29840,44814,31032,44042,33972,41825,19754,48588,21551,24737,21919,15424,34533,12916,48074,38530,27950,28070,13414,29700,26062,33238,41417,12375,15123,19044,26570,23151,23412,43273,25724,31564,38657,19502,24978,21189,33233,25438,39339,47175,31349,846,18471,37941,13083,31659,33160,21624,21468,26262,37353,31164,12976,49335,7980,52136,31658,40947,39054,35791,9233,11582,39454,30808,40550,19373,32920
1017,39690,13720,29201,13847,17773,11049,14734,22123,18640,14305,19226,20277,18896,14522,28715,29318,34513,17820,46602,25872,15033,25528,32619,28721,27923,18477,5346,6745,9578,749,,-3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,13660,,,5375,17986,7838,,12735,10240,13660,13666,7891,7162,16123,8391,9490,6201,7153,15806,11444,3884,10549,18276,13837,10981,8279,17055,16392,29203,9641,13485,10330,24090,7843,12247,4421,13735,16306,20678,9806,,,,,,,,,2405,,,,4810,,1365,11510,1203,-358,5070,-1050,,,,,,2405,,5070,-5070,943,,1050,3101,23406,-664,,,7052,6119,13074,10209,7354,7799,687,1500,512,4468,3922,15372,1611,2756,5127,2221,3230,3777,2715,2021,825,5965,-4333,1715,26500,-627,4681,1828,7821,2027,-5971,-1385,,385,,,3640,3000
1019,10589,7540,19577,18475,20194,10583,27509,16326,16731,16406,10386,44139,16508,20799,27711,42289,59511,81643,20301,51422,42371,31807,32261,26509,28480,32058,20867,48131,53062,61764,36858,8030,21524,30927,16073,45202,6373,41840,38878,12802,58747,18819,30724,34495,28749,36149,33486,33854,47683,38092,22860,33228,29340,46218,11073,40484,41770,17194,42477,15347,12329,25447,32840,14588,36400,21330,34174,17697,14952,34355,26765,24744,33950,26530,23043,22671,26617,33899,40947,26877,24024,3335,28831,35830,21763,23157,20761,30324,27823,29562,16599,15989,35300,8289,18784,7995,7091,8792,23277,14584,36516,17683,6590,22474,21283,3393,23915,28778,5196,17081,17186,13887,19532,23481,3996
1020,4032,4397,5798,2312,1431,4022,7138,6105,11895,-201,2764,5764,1679,,,2875,356,598,-9,1353,950,302,1094,365,,,365,-365,,729,364,666,365,,365,-365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,10708,14430,13175,5944,16093,7438,10517,19461,20130,9416,9621,34142,19602,12917,14090,17406,30171,22630,15032,8758,14789,24060,16963,22334,22650,17573,24026,17910,15444,38648,14251,20972,12563,29079,40403,4987,20087,15498,20902,25318,40209,21522,40541,26760,15333,43444,36226,22525,18714,22858,10969,39465,36412,30439,42180,35970,14189,20528,23815,29761,16468,13143,19231,38261,12776,35131,24553,18340,13491,40570,35822,40034,35075,21850,32768,31150,50240,22123,21997,12735,18300,47694,21876,20013,5224,12615,16536,19838,21080,22778,12887,41058,64739,395,11282,25776,4494,17370,23135,17188,8393,-366,-3996,26595,20832,16384,24473,10792,,,,,,,
1022,1074,25718,26670,27406,26755,24646,37724,15676,22133,6122,19152,41174,11758,28758,24060,31838,36853,9224,9340,37788,24488,29895,34213,12779,33067,28330,11686,11388,12336,36419,11195,25456,15372,30873,41224,35392,28979,9656,39151,12041,24340,40855,19005,36482,22990,43403,17235,19746,13650,24112,24259,15352,47535,23111,27766,29606,28826,14497,13569,24841,14519,29492,22517,22099,36147,30903,3209,38300,32177,21195,7614,18104,39386,48692,31092,18359,24347,33652,34034,40237,16362,27288,27878,26496,20556,16816,9330,28837,11441,36318,3963,81883,-25482,26327,13188,33366,4495,47453,24572,12687,15085,4697,33169,18682,30970,16784,22479,12388,19481,14487,20681,29774,13485,20281,11386
1023,5448,4193,17368,6577,8484,11384,4370,6963,5193,4790,4004,1086,3393,6087,6424,9042,4790,12444,15797,17763,8046,5120,13464,4658,8631,7035,5967,4083,6988,10196,10851,15092,6559,9718,1527,471,11030,7584,5007,2241,16114,8543,23354,1643,14924,10168,14330,10094,4573,16354,7374,14626,10654,10131,13689,30765,29858,3405,5490,18004,4519,12998,14933,20949,20600,24200,2713,22893,20624,24184,13099,6373,11289,3864,15400,20518,23433,10392,29011,12805,10883,14185,15169,17681,9665,24462,14847,16830,12356,38885,6359,11814,17143,15558,-1502,-398,-2598,,,,,,,,,,,,,,,,,,
1024,43217,64294,61963,71780,58782,82742,66422,35026,57157,80330,64533,45133,37901,46637,142880,95812,33751,31053,80762,79451,73791,40649,58267,3150,25458,34990,65011,38182,38525,49794,-1398,-6428,-2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,13036,10988,7572,14414,13676,6861,10804,8855,19973,8501,9937,5390,6066,11432,5887,20918,13112,37452,20931,20344,28982,20324,3112,17127,10469,25690,9341,15986,15396,8447,15741,16793,2855,6635,4576,6191,5106,1773,9313,17372,8544,15883,13545,9689,,-1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,14481,17631,19400,18923,31692,16869,28322,10634,23284,36261,43229,24456,18569,35623,28190,16123,24096,24372,10618,36155,14094,25077,23233,23453,14258,37024,23261,10495,12048,16218,8683,11807,21171,17919,17931,12000,23162,14348,18159,18765,30432,23766,11654,21023,7811,15732,18751,10296,4931,22961,18799,9304,17553,28980,14313,19212,13483,12562,15651,6650,14483,22778,10787,17920,24259,8834,16609,8131,10367,9756,4373,5460,-938,5340,28301,9858,11360,7969,24472,9501,8848,7033,12056,2696,7300,12665,16431,7785,5071,14401,16877,27353,21076,19973,21494,16349,25071,23986,44075,19426,27716,40946,2992,19577,10789,14696,11787,17223,20424,16132,27671,26470,27784,9837,14786
1028,63764,44675,24889,29595,52915,55506,16910,34714,34894,36094,49630,60598,32692,30763,32064,33159,28322,50390,29172,23707,36183,47760,40215,32511,42501,35602,38532,33385,28834,43070,36585,33305,33620,39803,37830,64903,31353,46157,27809,32876,41579,51107,30886,19858,25089,40337,34907,29494,24682,28335,37066,40232,34297,35362,19981,42024,9170,11837,23377,20268,9450,19296,22604,,-3178,-1798,,-598,,,,,,,,,-699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,5144,5594,3398,6892,7093,2477,900,950,4745,6193,6091,3028,1497,2598,9208,2098,2998,5396,-2598,1415,-1298,2998,2998,,,,3715,2998,899,,2398,,1098,,,,,,2998,,7094,,4497,1499,5396,2398,-899,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,,3596,-1798,1299,948,3897,6195,2598,,4396,3296,1797,4393,-1396,600,4895,1798,2347,,600,3196,3196,6994,,10890,400,5196
1030,460,6441,1893,21361,5356,9095,6561,15741,6708,17717,765,19066,10629,7499,13881,8875,19371,9331,11041,27692,15233,19540,13919,17013,21279,3774,26691,9338,7730,11387,94,7291,9415,1375,4144,7532,9595,5706,3780,4835,1997,700,16607,5521,6566,4365,10125,-1178,5950,1647,2977,6533,7021,975,5339,5313,6626,5551,6074,-100,1871,6982,7675,5675,375,6508,4848,899,4215,7669,3808,5966,7249,-3394,1746,4192,1647,6451,4457,3893,5588,4189,2799,8356,7176,7113,6517,5597,5942,3256,3383,5600,6378,1569,4312,7094,3470,8144,1693,2206,7684,3325,5515,1499,1250,2400,3474,5497,3351,6173,2625,3374,5323,7596,350
1031,5589,23377,14789,13386,,14431,15514,43948,15815,28782,18789,18474,15016,15216,14705,13851,19629,3989,699,15035,16282,27688,4585,7375,12314,20900,21209,4553,20658,2047,20096,14806,13163,15284,19180,16507,4424,29226,9370,15595,21459,27573,24473,15107,10038,9805,11720,13817,13157,31480,8320,27886,16238,16772,18428,17215,10492,14370,13957,17017,29594,10426,16660,19300,9304,21552,21612,18806,8101,20308,11738,12183,6440,18866,24868,11031,19290,5283,19256,5824,11153,10916,28127,1988,9657,11842,14880,16209,13955,27470,11188,20578,23279,29776,25776,21930,31669,10289,38404,-4396,,,,,,,,5196,,,,,,,
1032,-249,6805,8306,6036,19717,27082,181,11021,17533,7412,10289,22677,5494,11504,8222,9590,19126,19233,10219,8367,4746,16293,7410,13122,17797,16251,27991,12839,26541,14860,7996,-2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,4595,,2596,2196,899,,3996,,1097,798,4398,2698,16585,899,1698,598,3097,7493,6292,2497,1100,16883,7394,2797,15687,22682
