,2017_12,2017_11,2017_10,2017_09,2017_08,2017_07,2017_06,2017_05,2017_04,2017_03,2017_02,2017_01,2016_12,2016_11,2016_10,2016_09,2016_08,2016_07,2016_06,2016_05,2016_04,2016_03,2016_02,2016_01,2015_12,2015_11,2015_10,2015_09,2015_08,2015_07,2015_06,2015_05,2015_04,2015_03,2015_02,2015_01,2014_12,2014_11,2014_10,2014_09,2014_08,2014_07,2014_06,2014_05,2014_04,2014_03,2014_02,2014_01,2013_12,2013_11,2013_10,2013_09,2013_08,2013_07,2013_06,2013_05,2013_04,2013_03,2013_02,2013_01,2012_12,2012_11,2012_10,2012_09,2012_08,2012_07,2012_06,2012_05,2012_04,2012_03,2012_02,2012_01,2011_12,2011_11,2011_10
Total Number of Users (non-bmip) since Go-Live,436,431,426,419,416,412,403,401,399,395,390,386,383,378,360,350,347,346,341,326,318,315,309,303,296,289,281,276,268,261,254,250,243,239,235,227,221,214,209,206,199,191,190,185,163,159,149,145,140,134,124,120,116,114,114,110,93,91,84,80,75,73,70,70,68,68,64,61,42,36,32,31,,,
Total Number of New Users (logged-in) this period,1,5,7,2,3,9,2,2,4,5,4,3,5,18,10,3,1,5,15,8,3,6,5,8,7,9,3,9,7,7,4,5,4,5,8,5,6,5,3,7,8,1,5,22,4,10,4,6,5,9,5,4,2,0,4,17,2,7,4,5,2,3,0,2,0,4,3,19,6,4,1,6,6,9,10
Active User (logged-in/ran query) this period,18,18,17,13,11,17,15,11,22,19,15,15,13,26,20,14,16,18,20,20,17,20,17,22,22,19,20,16,20,18,17,7,10,16,19,11,18,14,18,18,17,5,13,26,8,12,13,12,10,13,7,12,6,4,8,21,4,9,8,10,8,5,6,5,4,10,6,19,8,8,7,7,7,9,9
Number of Queries this period,211,133,99,119,96,96,70,66,147,103,85,155,165,121,190,133,73,239,103,126,91,118,236,248,260,324,114,104,209,176,85,49,76,115,235,70,129,155,303,167,185,25,118,190,84,127,106,163,248,58,57,124,14,20,83,156,32,54,129,30,43,39,14,22,37,161,54,109,109,45,41,55,88,43,42
