headend_no,household_no,a,b,c,d,e,denominator
100264,111433,0,0,0,0,0,1
100264,1115,0,0,0,0,0,1
100264,111564,0,0,0,0,0,1
100264,111654,0,0,0,0,0,1
100264,111746,0,0,0,0,0,1
100264,111790,0,0,0,0,0,1
100264,111970,0,0,0,0,0,1
100264,112000,0,0,0,0,0,1
100264,112004,0,0,0,0,0,1
100264,112013,0,0,0,0,0,1
100264,112086,0,0,0,1,0,1
100264,112135,0,0,0,0,0,1
100264,112209,0,0,0,0,0,1
100264,112228,0,0,0,0,0,1
100264,112290,0,0,0,0,0,1
100264,112328,0,0,0,0,0,1
100264,112367,0,0,0,0,0,1
100264,112444,0,0,0,0,0,1
100264,11259,0,0,0,0,0,1
100264,1128,0,0,0,0,0,1
100264,11281,0,0,0,1,0,1
100264,112951,0,0,0,0,0,1
100264,113158,0,0,0,0,0,1
100264,113240,0,0,0,0,0,1
100264,113242,0,0,0,0,0,1
100264,113347,0,0,0,1,0,1
100264,113360,0,0,0,0,0,1
100264,113435,0,0,0,0,0,1
100264,113442,0,0,0,0,0,1
100264,113499,0,0,0,0,0,1
100264,113522,0,0,0,0,0,1
100264,113641,0,0,0,0,0,1
100264,113735,0,0,0,0,0,1
100264,113862,0,0,0,1,0,1
100264,113866,0,0,0,0,0,1
100264,113953,0,0,0,0,0,1
100264,113975,0,0,0,0,0,1
100264,113978,0,0,0,0,0,1
100264,114185,0,0,0,0,0,1
100264,114253,0,0,0,0,0,1
100264,11429,0,0,0,0,0,1
100264,114302,0,0,0,0,0,1
100264,114338,0,0,0,0,0,1
100264,114390,0,0,0,0,0,1
100264,114407,0,0,0,0,0,1
100264,11442,0,0,0,0,0,1
100264,114621,0,0,0,0,0,1
100264,114777,0,0,0,0,0,1
100264,114786,0,0,0,0,0,1
100264,114870,0,0,0,0,0,1
100264,114882,0,0,0,0,0,1
100264,115038,0,0,0,0,0,1
100264,115042,0,0,0,0,0,1
100264,115043,0,0,0,0,0,1
100264,115214,0,0,0,0,0,1
100264,115221,0,0,0,0,0,1
100264,115234,0,0,0,0,0,1
100264,115295,0,0,0,0,0,1
100264,115296,0,0,0,0,0,1
100264,115301,0,0,0,0,0,1
100264,115362,0,0,0,0,0,1
100264,115707,0,0,0,0,0,1
100264,115726,0,0,0,0,0,1
100264,115732,0,0,0,0,0,1
100264,115759,0,0,0,0,0,1
100264,115779,0,0,0,0,0,1
100264,115829,0,0,0,0,0,1
100264,115834,1,1,0,1,0,1
100264,115914,0,0,0,0,0,1
100264,115978,0,0,0,0,0,1
100264,115987,0,0,0,0,0,1
100264,116004,0,0,0,0,0,1
100264,116092,0,0,0,0,0,1
100264,1161,0,0,0,0,0,1
100264,116149,0,0,0,0,0,1
100264,116247,0,0,0,0,0,1
100264,116330,0,0,0,0,0,1
100264,116400,0,0,0,0,0,1
100264,11648,0,0,0,0,0,1
100264,1165,0,0,0,0,0,1
100264,11674,0,0,0,0,0,1
100264,116744,1,1,0,1,0,1
100264,116780,0,0,0,0,0,1
100264,116788,0,0,0,0,0,1
100264,116824,0,0,0,0,0,1
100264,116825,0,0,0,0,0,1
100264,116840,0,0,0,0,0,1
100264,11709,0,0,0,0,0,1
100264,117092,0,0,0,0,0,1
100264,117135,0,0,0,0,0,1
100264,117217,0,0,0,0,0,1
100264,11740,0,0,0,0,0,1
100264,117452,0,0,0,0,0,1
100264,117592,0,0,0,0,0,1
100264,117642,0,0,0,0,0,1
100264,117700,0,0,0,0,0,1
100264,117702,0,0,0,0,0,1
100264,117703,0,0,0,0,0,1
100264,117724,0,0,0,0,0,1
100264,117820,0,0,0,0,0,1
100264,117831,0,0,0,0,0,1
100264,117841,0,0,0,0,0,1
100264,1179,0,0,0,0,0,1
100264,11790,0,0,0,0,0,1
100264,11792,0,0,0,0,0,1
100264,118036,0,0,0,0,0,1
100264,11822,0,0,0,1,0,1
100264,118248,0,0,0,0,0,1
100264,118303,0,0,0,0,0,1
100264,11845,0,0,0,0,0,1
100264,11849,0,0,0,0,0,1
100264,118497,0,0,0,0,0,1
100264,118680,0,0,0,1,0,1
100264,11869,0,0,0,0,0,1
100264,118705,0,0,0,0,0,1
100264,11877,0,0,0,0,0,1
100264,118843,0,0,0,0,0,1
100264,118932,0,0,0,0,0,1
100264,119004,0,0,0,0,0,1
100264,119009,0,0,0,0,0,1
100264,119024,1,1,0,1,1,1
100264,119056,0,0,0,0,0,1
100264,119092,0,0,0,0,0,1
100264,119123,0,0,0,0,0,1
100264,119163,0,0,0,0,0,1
100264,119189,0,0,0,0,0,1
100264,119208,0,0,0,0,0,1
100264,119213,0,0,0,0,0,1
100264,119223,0,0,0,0,0,1
100264,119247,0,0,0,0,0,1
100264,119274,0,0,0,0,0,1
100264,119303,0,0,0,1,0,1
100264,119439,0,0,0,0,0,1
100264,119497,0,0,0,0,0,1
100264,119499,0,0,0,0,0,1
100264,119519,0,0,0,0,0,1
100264,119563,0,0,0,0,0,1
100264,119567,0,0,0,1,0,1
100264,119568,0,0,0,0,0,1
100264,11958,0,0,0,0,0,1
100264,11962,0,0,0,0,0,1
100264,119622,0,0,0,0,0,1
100264,119642,0,0,0,0,0,1
100264,119679,0,0,0,0,0,1
100264,119708,0,0,0,0,0,1
100264,11979,1,1,0,1,0,1
100264,119928,0,0,0,0,0,1
100264,119954,0,0,0,0,0,1
100264,11997,0,0,0,0,0,1
100264,120004,0,0,0,0,0,1
100264,120050,0,0,0,0,0,1
100264,120085,0,0,0,0,0,1
100264,120114,0,0,0,0,0,1
100264,120167,0,0,0,0,0,1
100264,120219,0,0,0,0,0,1
100264,120283,0,0,0,0,0,1
100264,120355,0,0,0,0,0,1
100264,120404,0,0,0,0,0,1
100264,120415,0,0,0,0,0,1
100264,120472,0,0,0,0,0,1
100264,120753,0,0,0,0,0,1
100264,120766,0,0,0,0,0,1
100264,120780,0,0,0,0,0,1
100264,120823,0,0,0,0,0,1
100264,120921,0,0,0,0,0,1
100264,1210,0,0,0,0,0,1
100264,121004,0,0,0,0,0,1
100264,121064,0,0,0,0,0,1
100264,121132,0,0,0,0,0,1
100264,121202,0,0,0,0,0,1
100264,121244,0,0,0,0,0,1
100264,12132,0,0,0,0,0,1
100264,121371,0,0,0,1,0,1
100264,121379,0,0,0,0,0,1
100264,121393,0,0,0,0,0,1
100264,121496,1,1,1,1,1,1
100264,121597,0,0,0,0,0,1
100264,121615,0,0,0,0,0,1
100264,12166,0,0,0,0,0,1
100264,121832,0,0,0,0,0,1
100264,121856,0,0,0,0,0,1
100264,121862,0,0,0,0,0,1
100264,121866,0,0,0,0,0,1
100264,122104,0,0,0,0,0,1
100264,12211,0,0,0,0,0,1
100264,122135,0,0,0,0,0,1
100264,122163,0,0,0,0,0,1
100264,122186,0,0,0,0,0,1
100264,122199,0,0,0,0,0,1
100264,122205,0,0,0,0,0,1
100264,122235,0,0,0,0,0,1
100264,122335,0,0,0,0,0,1
100264,122340,0,0,0,0,0,1
100264,12235,0,0,0,0,0,1
100264,12241,0,0,0,0,0,1
100264,122412,0,0,0,0,0,1
100264,122702,0,1,0,1,1,1
